(~I ==> ~B) . What is ~B ?	(~I ==> ~B) . What is ~B ?	(~I ==> ~B)	Unknown HELP!
(~D & J) & (~B & ~F) & (G <=> ~D) & (J | ~A) & (J | ~A) & (~D & J) & ~F & (G <=> ~D) & (G <=> ~D) . What is G ?	(~D & J) & (~B & ~F) & (G <=> ~D) & (J | ~A) & ~F . What is G ?	(~D & J) & (~B & ~F) & (G <=> ~D) & (J | ~A) & ~F	True
~J & ~J & (~J ^ ~C) & (~C ^ D) & (~C ^ D) . What is ~J ?	~J & (~J ^ ~C) & (~C ^ D) . What is ~J ?	~J & (~J ^ ~C) & (~C ^ D)	True
A . What is A ?	A . What is A ?	A	True
(~E & C) . What is ~E ?	(~E & C) . What is ~E ?	(~E & C)	True
(F & E) & (F & E) & ~I & ~I & E & (I | ~D) . What is E ?	(F & E) & ~I & E & (I | ~D) . What is E ?	(F & E) & ~I & E & (I | ~D)	True
(~E ^ ~J) & (~J & ~H) & (~H & G) & (~H & G) & (~H & G) . What is ~H ?	(~E ^ ~J) & (~J & ~H) & (~H & G) . What is ~H ?	(~E ^ ~J) & (~J & ~H) & (~H & G)	True
(I ^ A) & (~C & D) & (~C & D) & (D ==> I) & (~C & D) . What is ~I ?	(I ^ A) & (~C & D) & (D ==> I) . What is ~I ?	(I ^ A) & (~C & D) & (D ==> I)	False
~E & ~E & (~I | F) & I & (H ==> ~D) & ~E & (~I | F) & I & I . What is ~I ?	~E & (~I | F) & I & (H ==> ~D) . What is ~I ?	~E & (~I | F) & I & (H ==> ~D)	False
(~I ==> ~G) & ~I . What is I ?	(~I ==> ~G) & ~I . What is I ?	(~I ==> ~G) & ~I	False
~E & ~E . What is E ?	~E . What is E ?	~E	False
(~D & A) & (~D & A) & (~B & ~D) & (~D & A) & (~B & ~D) & (~B & ~D) & (A & ~C) & (A & ~C) . What is ~A ?	(~D & A) & (~B & ~D) & (A & ~C) . What is ~A ?	(~D & A) & (~B & ~D) & (A & ~C)	False
(H ==> ~G) & (H ==> ~G) & (~D & ~A) & (~B <=> ~D) & ~G & ~A & ~G & ~A & ~G & (~A ^ J) & (H ==> ~G) & ~A & (~D & ~A) . What is ~J ?	(H ==> ~G) & (~D & ~A) & (~B <=> ~D) & ~G & ~A & (~A ^ J) . What is ~J ?	(H ==> ~G) & (~D & ~A) & (~B <=> ~D) & ~G & ~A & (~A ^ J)	True
(E | ~H) & ~C & (C ^ ~D) & (~D <=> E) & (C ^ ~D) & (C ^ ~D) & (~D <=> E) & (~D <=> E) & ~C & ~C . What is E ?	(E | ~H) & ~C & (C ^ ~D) & (~D <=> E) . What is E ?	(E | ~H) & ~C & (C ^ ~D) & (~D <=> E)	True
(A & B) & (C <=> A) & ~J & (B <=> F) & (~J ==> ~I) & (~J ==> ~I) . What is B ?	(A & B) & (C <=> A) & ~J & (B <=> F) & (~J ==> ~I) . What is B ?	(A & B) & (C <=> A) & ~J & (B <=> F) & (~J ==> ~I)	True
~H & (H & ~F) & B & B & (H & ~F) & (~C | ~D) & B . What is ~J ?	~H & (H & ~F) & B & (~C | ~D) . What is ~J ?	~H & (H & ~F) & B & (~C | ~D)	Contradictory
(G & F) & B & (~A ==> ~J) & (F & D) & D & (~A ==> ~J) & D & (G & F) & (~A ==> ~J) & D & (F & D) & (G & F) . What is ~D ?	(G & F) & B & (~A ==> ~J) & (F & D) & D . What is ~D ?	(G & F) & B & (~A ==> ~J) & (F & D) & D	False
C & C & C . What is ~C ?	C . What is ~C ?	C	False
~F & ~F & ~F . What is F ?	~F . What is F ?	~F	False
~F . What is ~F ?	~F . What is ~F ?	~F	True
~H . What is H ?	~H . What is H ?	~H	False
(B | ~J) & (B | ~J) & (~D <=> ~C) & ~C & ~I & (B | ~J) & (~D <=> ~C) & ~I . What is ~A ?	(B | ~J) & (~D <=> ~C) & ~C & ~I . What is ~A ?	(B | ~J) & (~D <=> ~C) & ~C & ~I	Unknown HELP!
(~C ^ ~E) & B & (~C ^ ~E) & B & B . What is B ?	(~C ^ ~E) & B . What is B ?	(~C ^ ~E) & B	True
(I <=> ~F) & (I <=> ~F) & (I <=> ~F) & I . What is F ?	(I <=> ~F) & I . What is F ?	(I <=> ~F) & I	False
(~G | F) & G & (~G | F) & (~G | F) . What is ~F ?	(~G | F) & G . What is ~F ?	(~G | F) & G	False
(A ^ ~B) & (H ^ A) & (H ^ A) & (A ^ ~B) & (H ^ A) . What is H ?	(A ^ ~B) & (H ^ A) . What is H ?	(A ^ ~B) & (H ^ A)	Unknown HELP!
(~A & I) & (H ^ ~G) & (H ^ ~G) & (H ^ ~G) & (~G ^ ~A) . What is ~G ?	(~A & I) & (H ^ ~G) & (~G ^ ~A) . What is ~G ?	(~A & I) & (H ^ ~G) & (~G ^ ~A)	False
(~B ^ J) & (~B ^ J) & (~G & F) & (F & ~B) & ~G & (~G & F) & (F & ~B) & (F & ~B) & (C ^ ~A) & ~G & ~G & (C ^ ~A) & C . What is J ?	(~B ^ J) & (~G & F) & (F & ~B) & ~G & (C ^ ~A) & C . What is J ?	(~B ^ J) & (~G & F) & (F & ~B) & ~G & (C ^ ~A) & C	False
~C & I & (~C <=> E) & (H & D) & (E <=> ~F) & I & (~C <=> E) & (H & D) & (~C <=> E) . What is E ?	~C & I & (~C <=> E) & (H & D) & (E <=> ~F) . What is E ?	~C & I & (~C <=> E) & (H & D) & (E <=> ~F)	True
F & (B & I) & (F | B) & (B & I) & F . What is ~I ?	F & (B & I) & (F | B) . What is ~I ?	F & (B & I) & (F | B)	False
A & (F | ~D) & (~D & ~C) & (F | ~D) & (~D & ~C) . What is ~A ?	A & (F | ~D) & (~D & ~C) . What is ~A ?	A & (F | ~D) & (~D & ~C)	False
I & (E | J) & ~E & (~D <=> ~F) & (E | J) . What is I ?	I & (E | J) & ~E & (~D <=> ~F) . What is I ?	I & (E | J) & ~E & (~D <=> ~F)	True
(A ^ E) & (~J & A) & (A ^ E) & (~F ^ ~J) & (A ^ E) & (~F ^ ~J) & (~J & A) & (~J & A) & (~F ^ ~J) & ~F & ~F . What is J ?	(A ^ E) & (~J & A) & (~F ^ ~J) & ~F . What is J ?	(A ^ E) & (~J & A) & (~F ^ ~J) & ~F	Contradictory
B & B & B . What is ~B ?	B . What is ~B ?	B	False
(F & ~J) & (~J ==> H) & (B ^ E) & (F & ~J) & (B ^ E) & (~J ==> H) & ~E & ~E & ~E & (~J ==> H) . What is ~H ?	(F & ~J) & (~J ==> H) & (B ^ E) & ~E . What is ~H ?	(F & ~J) & (~J ==> H) & (B ^ E) & ~E	False
~B & ~B . What is ~B ?	~B . What is ~B ?	~B	True
(~G & ~E) & (~G & ~E) & (~G & ~E) . What is G ?	(~G & ~E) . What is G ?	(~G & ~E)	False
(~I | ~G) & (A | F) & ~I & (~I | ~G) & (~D ==> H) & (A | F) & (~I | ~G) & (F ==> ~I) & ~D & (F ==> ~I) . What is ~I ?	(~I | ~G) & (A | F) & ~I & (~D ==> H) & (F ==> ~I) & ~D . What is ~I ?	(~I | ~G) & (A | F) & ~I & (~D ==> H) & (F ==> ~I) & ~D	True
E . What is ~E ?	E . What is ~E ?	E	False
(H ^ ~J) & J & ~E & ~E & (~I & ~B) & (~B ^ F) & (~I & ~B) & (~B ^ F) & ~E & (E ^ ~I) & (H ^ ~J) & (H ^ ~J) & (E ^ ~I) & (~I & ~B) & (E ^ ~I) . What is ~E ?	(H ^ ~J) & J & ~E & (~I & ~B) & (~B ^ F) & (E ^ ~I) . What is ~E ?	(H ^ ~J) & J & ~E & (~I & ~B) & (~B ^ F) & (E ^ ~I)	True
(D ^ ~G) & (~G ^ I) & (~G ^ I) & (I & ~C) & (I & ~C) & (I & ~C) . What is ~I ?	(D ^ ~G) & (~G ^ I) & (I & ~C) . What is ~I ?	(D ^ ~G) & (~G ^ I) & (I & ~C)	False
(I ==> ~H) & (~D ==> J) & ~I & ~I & C & (~D ==> J) & (~D ==> J) & (~C | ~D) & (~C | ~D) . What is J ?	(I ==> ~H) & (~D ==> J) & ~I & C & (~C | ~D) . What is J ?	(I ==> ~H) & (~D ==> J) & ~I & C & (~C | ~D)	True
(~G | ~B) & (~G | ~B) & G & G . What is G ?	(~G | ~B) & G . What is G ?	(~G | ~B) & G	True
(J & F) & (F ^ ~E) & (~A <=> ~H) & (J & F) & ~A & (~E <=> G) & (~E <=> G) & (~E <=> G) . What is ~E ?	(J & F) & (F ^ ~E) & (~A <=> ~H) & ~A & (~E <=> G) . What is ~E ?	(J & F) & (F ^ ~E) & (~A <=> ~H) & ~A & (~E <=> G)	False
 . What is B ?	 . What is B ?		Unknown HELP!
C & C . What is C ?	C . What is C ?	C	True
~H & ~H . What is H ?	~H . What is H ?	~H	False
(J ==> B) & ~J & ~H & (~H & ~E) & (~C <=> ~H) & ~J & (~H & ~E) & ~H & (J ==> B) & (F <=> ~C) . What is C ?	(J ==> B) & ~J & ~H & (~H & ~E) & (~C <=> ~H) & (F <=> ~C) . What is C ?	(J ==> B) & ~J & ~H & (~H & ~E) & (~C <=> ~H) & (F <=> ~C)	False
E . What is ~E ?	E . What is ~E ?	E	False
(~G ==> ~B) & (A ==> ~F) & (A ==> ~F) & (~F & ~I) & (~F & ~I) & ~B & ~B & (~G ==> ~B) & (~F & ~I) & ~B & (~G ==> ~B) . What is F ?	(~G ==> ~B) & (A ==> ~F) & (~F & ~I) & ~B . What is F ?	(~G ==> ~B) & (A ==> ~F) & (~F & ~I) & ~B	False
 . What is E ?	 . What is E ?		Unknown HELP!
D & (F <=> ~D) & (F <=> ~D) & D & D . What is ~F ?	D & (F <=> ~D) . What is ~F ?	D & (F <=> ~D)	True
~J & ~J & B & (~J ^ ~C) & B & (H ^ ~B) & (H ^ ~B) & (H ^ ~B) & (~I ==> ~J) & (~I ==> ~J) & ~J & (~I ==> ~J) & B . What is ~C ?	~J & B & (~J ^ ~C) & (H ^ ~B) & (~I ==> ~J) . What is ~C ?	~J & B & (~J ^ ~C) & (H ^ ~B) & (~I ==> ~J)	False
(B & ~H) & (B & ~H) & (~G <=> B) & ~G & (~A & ~G) & (~A & ~G) & (~A & ~G) & ~G . What is ~A ?	(B & ~H) & (~G <=> B) & ~G & (~A & ~G) . What is ~A ?	(B & ~H) & (~G <=> B) & ~G & (~A & ~G)	True
(~B ==> F) & C & (I ==> ~B) & (~B ==> F) & ~I & ~I & C & (C & A) & (C & A) & C & (~B ==> F) & ~I & (I ==> ~B) & (C & A) . What is I ?	(~B ==> F) & C & (I ==> ~B) & ~I & (C & A) . What is I ?	(~B ==> F) & C & (I ==> ~B) & ~I & (C & A)	False
 . What is F ?	 . What is F ?		Unknown HELP!
(~J ==> G) & (B & F) & F & (B & F) & (B & F) & (~J ==> G) & (E <=> ~J) & (E <=> ~J) & (E <=> ~J) . What is ~G ?	(~J ==> G) & (B & F) & F & (E <=> ~J) . What is ~G ?	(~J ==> G) & (B & F) & F & (E <=> ~J)	Unknown HELP!
(~G | C) & A & (~G | C) & A & (~G | C) & (~A ^ ~D) & ~G & A & ~G & ~G . What is I ?	(~G | C) & A & (~A ^ ~D) & ~G . What is I ?	(~G | C) & A & (~A ^ ~D) & ~G	Unknown HELP!
(A & ~C) & ~D & (A & ~C) . What is ~C ?	(A & ~C) & ~D . What is ~C ?	(A & ~C) & ~D	True
~B . What is ~B ?	~B . What is ~B ?	~B	True
(J | F) & (J | F) & (D ==> G) & (G & J) & (G & J) & (D ==> G) & (G & J) . What is ~G ?	(J | F) & (D ==> G) & (G & J) . What is ~G ?	(J | F) & (D ==> G) & (G & J)	False
~D . What is D ?	~D . What is D ?	~D	False
(~H | F) & (D <=> ~H) & (~H | F) & ~F . What is H ?	(~H | F) & (D <=> ~H) & ~F . What is H ?	(~H | F) & (D <=> ~H) & ~F	False
(A | H) & C & (E <=> A) & (A | H) & (A | H) & I & (C ==> ~J) & (C ==> ~J) & (C ==> ~J) & (I ==> E) & I & I . What is ~E ?	(A | H) & C & (E <=> A) & I & (C ==> ~J) & (I ==> E) . What is ~E ?	(A | H) & C & (E <=> A) & I & (C ==> ~J) & (I ==> E)	False
~B & (~A & ~H) & (~B ^ E) & (~A & ~H) & (~F ^ ~J) & (~B ^ E) & (~H ^ ~F) & (~H ^ ~F) & (~H ^ ~F) . What is J ?	~B & (~A & ~H) & (~B ^ E) & (~F ^ ~J) & (~H ^ ~F) . What is J ?	~B & (~A & ~H) & (~B ^ E) & (~F ^ ~J) & (~H ^ ~F)	False
(D <=> ~B) & C & (D <=> ~B) & (~A & I) & C & (D <=> ~B) . What is ~I ?	(D <=> ~B) & C & (~A & I) . What is ~I ?	(D <=> ~B) & C & (~A & I)	False
(D ==> C) & (~B & H) & (~B & H) & (C ==> ~B) . What is ~H ?	(D ==> C) & (~B & H) & (C ==> ~B) . What is ~H ?	(D ==> C) & (~B & H) & (C ==> ~B)	False
(~B <=> ~I) & (F & J) & (~B <=> ~I) & (~B <=> ~I) & (~I ==> F) & ~I . What is ~I ?	(~B <=> ~I) & (F & J) & (~I ==> F) & ~I . What is ~I ?	(~B <=> ~I) & (F & J) & (~I ==> F) & ~I	True
(I ^ ~G) & (D ==> A) & C & (D ==> A) & ~G & (I ^ ~G) & C & ~G & C & ~G . What is ~C ?	(I ^ ~G) & (D ==> A) & C & ~G . What is ~C ?	(I ^ ~G) & (D ==> A) & C & ~G	False
(G & J) & F & (G & J) & (~E | D) & ~B & F & (G & J) & (~E | D) & ~B & (~E | D) & ~B . What is ~G ?	(G & J) & F & (~E | D) & ~B . What is ~G ?	(G & J) & F & (~E | D) & ~B	False
(~I & G) & (~A <=> ~I) & (C & ~A) & (~A <=> ~I) & (C & ~A) . What is A ?	(~I & G) & (~A <=> ~I) & (C & ~A) . What is A ?	(~I & G) & (~A <=> ~I) & (C & ~A)	False
~G & ~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
(~G | ~B) & (~D | ~G) & I & (~D | ~G) & (~D | ~G) & (~G | ~B) & (~B & F) & I . What is ~I ?	(~G | ~B) & (~D | ~G) & I & (~B & F) . What is ~I ?	(~G | ~B) & (~D | ~G) & I & (~B & F)	False
(~C & ~G) & (~G ==> ~E) & (~G ==> ~E) . What is ~G ?	(~C & ~G) & (~G ==> ~E) . What is ~G ?	(~C & ~G) & (~G ==> ~E)	True
(J <=> ~F) & (J <=> ~F) & (B & J) . What is ~F ?	(J <=> ~F) & (B & J) . What is ~F ?	(J <=> ~F) & (B & J)	True
(~I & ~F) & (~G <=> J) & (~E | ~G) & I & (~I & ~F) & (~E | ~G) & (~E | ~G) . What is ~J ?	(~I & ~F) & (~G <=> J) & (~E | ~G) & I . What is ~J ?	(~I & ~F) & (~G <=> J) & (~E | ~G) & I	Contradictory
(~A ==> J) & (~A ==> J) & (C <=> ~G) & ~I . What is F ?	(~A ==> J) & (C <=> ~G) & ~I . What is F ?	(~A ==> J) & (C <=> ~G) & ~I	Unknown HELP!
(~C ==> G) & (~E ^ H) & (I ==> ~C) & (~C ==> G) & ~B & (~C ==> G) & ~B . What is C ?	(~C ==> G) & (~E ^ H) & (I ==> ~C) & ~B . What is C ?	(~C ==> G) & (~E ^ H) & (I ==> ~C) & ~B	Unknown HELP!
(A ^ ~E) & J & (A ^ ~E) & (~E | ~J) & (~E | ~J) & (~E | ~J) . What is ~E ?	(A ^ ~E) & J & (~E | ~J) . What is ~E ?	(A ^ ~E) & J & (~E | ~J)	True
I & (D | I) & (I ^ G) & (D | I) & ~F & ~F & (F ==> ~A) & (F ==> ~A) & ~F & (F ==> ~A) . What is G ?	I & (D | I) & (I ^ G) & ~F & (F ==> ~A) . What is G ?	I & (D | I) & (I ^ G) & ~F & (F ==> ~A)	False
(B & G) & (I ==> B) & (I ==> B) . What is G ?	(B & G) & (I ==> B) . What is G ?	(B & G) & (I ==> B)	True
(E | J) & (E | J) & (E | J) & ~B & (~F & E) & (~F & E) & (~F & E) & (J | ~B) & (J | ~B) . What is E ?	(E | J) & ~B & (~F & E) & (J | ~B) . What is E ?	(E | J) & ~B & (~F & E) & (J | ~B)	True
(G ==> ~A) & (~J <=> ~I) & ~H & (~J <=> ~I) & J & J & ~H & ~H . What is ~J ?	(G ==> ~A) & (~J <=> ~I) & ~H & J . What is ~J ?	(G ==> ~A) & (~J <=> ~I) & ~H & J	False
I & (D | B) & (D | B) & (~I ==> D) & (D | B) & ~A & (~I ==> D) & (~A & ~J) . What is ~I ?	I & (D | B) & (~I ==> D) & ~A & (~A & ~J) . What is ~I ?	I & (D | B) & (~I ==> D) & ~A & (~A & ~J)	False
~E & ~E . What is E ?	~E . What is E ?	~E	False
A & (J ^ I) & (~A <=> J) & A & (~A <=> J) & (J ^ I) & (J ^ I) . What is A ?	A & (J ^ I) & (~A <=> J) . What is A ?	A & (J ^ I) & (~A <=> J)	True
(~C ^ ~E) & (~J & ~C) & (~J & ~C) & (~J & ~C) & (~C ^ ~E) & (~C ^ ~E) . What is E ?	(~C ^ ~E) & (~J & ~C) . What is E ?	(~C ^ ~E) & (~J & ~C)	True
(I & ~B) & I . What is ~I ?	(I & ~B) & I . What is ~I ?	(I & ~B) & I	False
(~C ^ G) & (~A & ~D) & (G & ~E) & ~A & (G & ~E) . What is C ?	(~C ^ G) & (~A & ~D) & (G & ~E) & ~A . What is C ?	(~C ^ G) & (~A & ~D) & (G & ~E) & ~A	True
(J ^ ~A) & (~G & J) & (J ^ ~A) & (~G & J) & (J ^ ~A) & ~J & ~J & ~J . What is ~J ?	(J ^ ~A) & (~G & J) & ~J . What is ~J ?	(J ^ ~A) & (~G & J) & ~J	Contradictory
G . What is ~G ?	G . What is ~G ?	G	False
~J & (~G & E) & ~J & ~J & (~G & E) . What is J ?	~J & (~G & E) . What is J ?	~J & (~G & E)	False
~B & ~B & (~H <=> A) & (~B ^ J) & (~B ^ J) & H & ~B & (A & F) & (~B ^ J) & (A & F) . What is ~C ?	~B & (~H <=> A) & (~B ^ J) & H & (A & F) . What is ~C ?	~B & (~H <=> A) & (~B ^ J) & H & (A & F)	Contradictory
(~H | ~D) & (F & ~E) & (C <=> F) & ~A & (F & ~E) & (C <=> F) & (~H | ~D) & (~H | ~D) & (F & ~E) . What is ~E ?	(~H | ~D) & (F & ~E) & (C <=> F) & ~A . What is ~E ?	(~H | ~D) & (F & ~E) & (C <=> F) & ~A	True
I & ~A & (~I | E) & (~F & J) & ~A & (~I | E) & I & (~F & J) & ~A & I . What is F ?	I & ~A & (~I | E) & (~F & J) . What is F ?	I & ~A & (~I | E) & (~F & J)	False
C & C . What is ~C ?	C . What is ~C ?	C	False
