E & (~B ==> C) & E & (~E ^ ~G) & (~E ^ ~G) & E & (~E ^ ~G) & (~B ==> C) . What is ~H ?	E & (~B ==> C) & (~E ^ ~G) . What is ~H ?	E & (~B ==> C) & (~E ^ ~G)	Unknown HELP!
~G & (G & ~I) & ~G . What is ~H ?	~G & (G & ~I) . What is ~H ?	~G & (G & ~I)	Contradictory
(H ==> F) & J & (H ==> F) & ~B & J & ~B & ~B & (H ==> F) & (~B ==> C) & (C ==> ~E) & (~B ==> C) . What is ~E ?	(H ==> F) & J & ~B & (~B ==> C) & (C ==> ~E) . What is ~E ?	(H ==> F) & J & ~B & (~B ==> C) & (C ==> ~E)	True
(~G & D) & (~G & D) & (~G & D) & (D ^ ~J) & J . What is D ?	(~G & D) & (D ^ ~J) & J . What is D ?	(~G & D) & (D ^ ~J) & J	True
(E & A) & (A & ~I) & ~G & D & (D | ~J) & (A & ~I) & (E & A) & ~G & (C <=> E) & (D | ~J) & D & (D | ~J) . What is ~E ?	(E & A) & (A & ~I) & ~G & D & (D | ~J) & (C <=> E) . What is ~E ?	(E & A) & (A & ~I) & ~G & D & (D | ~J) & (C <=> E)	False
(~H <=> A) & ~I & (~H <=> A) & (I ==> ~H) & (I ==> ~H) & (I ==> ~H) . What is I ?	(~H <=> A) & ~I & (I ==> ~H) . What is I ?	(~H <=> A) & ~I & (I ==> ~H)	False
H & H & H . What is H ?	H . What is H ?	H	True
(F & ~J) & (B & ~G) & (B & ~G) & ~G & (F & ~J) & I & ~G . What is ~I ?	(F & ~J) & (B & ~G) & ~G & I . What is ~I ?	(F & ~J) & (B & ~G) & ~G & I	False
~H & B & B & ~H & (I & ~G) & B & (~E <=> ~B) . What is ~I ?	~H & B & (I & ~G) & (~E <=> ~B) . What is ~I ?	~H & B & (I & ~G) & (~E <=> ~B)	False
~D & ~D . What is ~E ?	~D . What is ~E ?	~D	Unknown HELP!
(E <=> B) & (~H & ~A) & D . What is ~A ?	(E <=> B) & (~H & ~A) & D . What is ~A ?	(E <=> B) & (~H & ~A) & D	True
C & (~F & B) & C & (D & ~F) & C & (~G ==> D) & (D & ~F) & (D & ~F) . What is ~D ?	C & (~F & B) & (D & ~F) & (~G ==> D) . What is ~D ?	C & (~F & B) & (D & ~F) & (~G ==> D)	False
(F <=> ~D) & (H & F) & (~B ==> I) & (H & F) & (~D | ~C) & (F <=> ~D) & (~D | ~C) & (F <=> ~D) & (~D | ~C) & ~B & ~B & (H & F) & ~B . What is ~D ?	(F <=> ~D) & (H & F) & (~B ==> I) & (~D | ~C) & ~B . What is ~D ?	(F <=> ~D) & (H & F) & (~B ==> I) & (~D | ~C) & ~B	True
(~J & F) & (F | ~E) & ~E & (~J & F) . What is E ?	(~J & F) & (F | ~E) & ~E . What is E ?	(~J & F) & (F | ~E) & ~E	False
(~C | F) & (A & E) & (B & ~J) & (A & E) & E & (B & ~J) & (~J & ~C) & E & E . What is ~J ?	(~C | F) & (A & E) & (B & ~J) & E & (~J & ~C) . What is ~J ?	(~C | F) & (A & E) & (B & ~J) & E & (~J & ~C)	True
(~J ==> ~A) & (~A & ~B) & ~A & (F ==> ~E) & ~E & ~A & ~E & ~A & ~E . What is ~A ?	(~J ==> ~A) & (~A & ~B) & ~A & (F ==> ~E) & ~E . What is ~A ?	(~J ==> ~A) & (~A & ~B) & ~A & (F ==> ~E) & ~E	True
~C & ~C . What is ~C ?	~C . What is ~C ?	~C	True
(C & E) & ~F & (C & E) & (I <=> C) & ~F & ~F & (C & E) . What is E ?	(C & E) & ~F & (I <=> C) . What is E ?	(C & E) & ~F & (I <=> C)	True
~D & ~D & ~D . What is D ?	~D . What is D ?	~D	False
~B & ~B . What is B ?	~B . What is B ?	~B	False
I & I . What is ~I ?	I . What is ~I ?	I	False
D & D & D . What is ~D ?	D . What is ~D ?	D	False
(~H <=> J) & (J & ~I) & ~E & (B | ~H) & ~J & ~E & (~C <=> ~E) & (~C <=> ~E) & (~C <=> ~E) . What is ~H ?	(~H <=> J) & (J & ~I) & ~E & (B | ~H) & ~J & (~C <=> ~E) . What is ~H ?	(~H <=> J) & (J & ~I) & ~E & (B | ~H) & ~J & (~C <=> ~E)	Contradictory
B & B & B . What is B ?	B . What is B ?	B	True
~B & ~B & ~B . What is B ?	~B . What is B ?	~B	False
(~C <=> H) & (B & ~C) . What is C ?	(~C <=> H) & (B & ~C) . What is C ?	(~C <=> H) & (B & ~C)	False
~G & (E <=> ~J) & ~A & (D ^ C) & (~A <=> D) & (E <=> ~J) & (~A <=> D) & (~A <=> D) . What is D ?	~G & (E <=> ~J) & ~A & (D ^ C) & (~A <=> D) . What is D ?	~G & (E <=> ~J) & ~A & (D ^ C) & (~A <=> D)	True
(E <=> I) & B & (E <=> I) & (E <=> I) & (I <=> B) & (I <=> B) . What is E ?	(E <=> I) & B & (I <=> B) . What is E ?	(E <=> I) & B & (I <=> B)	True
(G | ~A) & (I & G) & G & (~A <=> ~B) & (G | ~A) & (I & G) . What is ~D ?	(G | ~A) & (I & G) & G & (~A <=> ~B) . What is ~D ?	(G | ~A) & (I & G) & G & (~A <=> ~B)	Unknown HELP!
G & G & (G ==> A) & (G ==> A) . What is A ?	G & (G ==> A) . What is A ?	G & (G ==> A)	True
F & F & F . What is ~F ?	F . What is ~F ?	F	False
~G & (~H & D) & (~H & D) & (~H & D) . What is ~H ?	~G & (~H & D) . What is ~H ?	~G & (~H & D)	True
C & C & C . What is C ?	C . What is C ?	C	True
(J | B) & (B & H) & (B & H) & (~I ^ J) & (~I ^ J) . What is H ?	(J | B) & (B & H) & (~I ^ J) . What is H ?	(J | B) & (B & H) & (~I ^ J)	True
~I & ~I & ~I & (~J <=> B) & (~A <=> ~E) & E & (~J <=> B) & (~A <=> ~E) & (B & ~H) & E . What is ~H ?	~I & (~J <=> B) & (~A <=> ~E) & E & (B & ~H) . What is ~H ?	~I & (~J <=> B) & (~A <=> ~E) & E & (B & ~H)	True
(~G | D) & (D <=> B) & (~E <=> ~F) & (~G | D) & (D <=> B) & E & (J & ~G) & ~G & ~G & ~G . What is J ?	(~G | D) & (D <=> B) & (~E <=> ~F) & E & (J & ~G) & ~G . What is J ?	(~G | D) & (D <=> B) & (~E <=> ~F) & E & (J & ~G) & ~G	True
~C & (C ^ E) & (E & ~D) & (C ^ E) & (H & C) & (E & ~D) & (H & C) & (C ^ E) . What is F ?	~C & (C ^ E) & (E & ~D) & (H & C) . What is F ?	~C & (C ^ E) & (E & ~D) & (H & C)	Contradictory
~I & (~A & ~F) & (D | ~G) & H & H & H & ~I & (~A & ~F) . What is ~I ?	~I & (~A & ~F) & (D | ~G) & H . What is ~I ?	~I & (~A & ~F) & (D | ~G) & H	True
(~I | G) & ~J & (~I | G) & ~J & (~I | G) . What is J ?	(~I | G) & ~J . What is J ?	(~I | G) & ~J	False
I & I & I . What is E ?	I . What is E ?	I	Unknown HELP!
(F ^ ~E) & (H & C) & ~D & (~E | ~I) & ~B & (F ^ ~E) & (~I | B) & ~D & (F ^ ~E) & (~E | ~I) & ~D . What is B ?	(F ^ ~E) & (H & C) & ~D & (~E | ~I) & ~B & (~I | B) . What is B ?	(F ^ ~E) & (H & C) & ~D & (~E | ~I) & ~B & (~I | B)	False
(~D & J) & (I ==> ~A) & A & (B ^ ~D) & A & (~D & J) . What is ~D ?	(~D & J) & (I ==> ~A) & A & (B ^ ~D) . What is ~D ?	(~D & J) & (I ==> ~A) & A & (B ^ ~D)	True
F & F & F . What is ~F ?	F . What is ~F ?	F	False
(~H & ~B) & (G ^ C) & C & I & (~J & G) & (G ^ C) & I & C & C . What is ~G ?	(~H & ~B) & (G ^ C) & C & I & (~J & G) . What is ~G ?	(~H & ~B) & (G ^ C) & C & I & (~J & G)	Contradictory
~J & G & (~A ==> ~C) & (G <=> D) & (~C <=> G) & (~J ^ E) & (~A ==> ~C) & (~A ==> ~C) & (~C <=> G) . What is C ?	~J & G & (~A ==> ~C) & (G <=> D) & (~C <=> G) & (~J ^ E) . What is C ?	~J & G & (~A ==> ~C) & (G <=> D) & (~C <=> G) & (~J ^ E)	False
(~I & D) & (~I & D) & (~I & D) . What is I ?	(~I & D) . What is I ?	(~I & D)	False
(~A ^ F) & (~B & C) & (~A ^ F) & F & (~B & C) . What is B ?	(~A ^ F) & (~B & C) & F . What is B ?	(~A ^ F) & (~B & C) & F	False
~J . What is J ?	~J . What is J ?	~J	False
(~A & H) & (C ==> I) & ~C & (C ==> I) & (C ==> I) & ~C & (~A & H) & ~C & (~A & H) . What is ~H ?	(~A & H) & (C ==> I) & ~C . What is ~H ?	(~A & H) & (C ==> I) & ~C	False
(~C ^ D) & (~C ^ D) & D & (~F ^ ~C) & (D <=> ~H) & (~C ^ D) & (~F ^ ~C) & (~F ^ ~C) . What is ~C ?	(~C ^ D) & D & (~F ^ ~C) & (D <=> ~H) . What is ~C ?	(~C ^ D) & D & (~F ^ ~C) & (D <=> ~H)	False
F & F . What is ~F ?	F . What is ~F ?	F	False
(~J & ~D) & (I ^ ~G) & (I ^ ~G) & ~G & ~G & (~D <=> ~B) & (~J & ~D) & (~J & ~D) & (~D <=> ~B) & (~D <=> ~B) & (~B ^ E) & (~B ^ E) & (~B ^ E) . What is ~J ?	(~J & ~D) & (I ^ ~G) & ~G & (~D <=> ~B) & (~B ^ E) . What is ~J ?	(~J & ~D) & (I ^ ~G) & ~G & (~D <=> ~B) & (~B ^ E)	True
~E & (~C ^ E) & (J ^ ~B) & (J ^ ~B) & ~B & ~B & ~B & (G ^ ~C) & (~C ^ E) & (G ^ ~C) & (~C ^ E) & (J ^ ~B) & (G ^ ~C) . What is E ?	~E & (~C ^ E) & (J ^ ~B) & ~B & (G ^ ~C) . What is E ?	~E & (~C ^ E) & (J ^ ~B) & ~B & (G ^ ~C)	False
(~H ^ J) & (~G & ~H) & (~H ^ J) & (~G & ~H) & (~G & ~H) & (~H ^ J) . What is J ?	(~H ^ J) & (~G & ~H) . What is J ?	(~H ^ J) & (~G & ~H)	False
(~F | I) & (~F | I) . What is F ?	(~F | I) . What is F ?	(~F | I)	Unknown HELP!
C & (B ^ ~C) & (D & H) & C & (B ^ ~C) & C & (~C | D) & (~C | D) & (~C | D) . What is B ?	C & (B ^ ~C) & (D & H) & (~C | D) . What is B ?	C & (B ^ ~C) & (D & H) & (~C | D)	True
~G & (~G <=> ~B) & (~G <=> ~B) . What is G ?	~G & (~G <=> ~B) . What is G ?	~G & (~G <=> ~B)	False
(~D | ~B) & ~D & (J <=> ~D) & (J <=> ~D) & (J <=> ~D) . What is ~D ?	(~D | ~B) & ~D & (J <=> ~D) . What is ~D ?	(~D | ~B) & ~D & (J <=> ~D)	True
(~D ==> H) & (G <=> ~D) & (G <=> ~D) & (G <=> ~D) . What is H ?	(~D ==> H) & (G <=> ~D) . What is H ?	(~D ==> H) & (G <=> ~D)	Unknown HELP!
(~I ==> H) & (G & ~I) & (~B | G) & (~I ==> H) & (~I ==> H) . What is ~H ?	(~I ==> H) & (G & ~I) & (~B | G) . What is ~H ?	(~I ==> H) & (G & ~I) & (~B | G)	False
(~E & B) & (B & A) & (~E & B) & (B & A) & (C & ~E) & (~E & B) . What is ~B ?	(~E & B) & (B & A) & (C & ~E) . What is ~B ?	(~E & B) & (B & A) & (C & ~E)	False
I . What is ~I ?	I . What is ~I ?	I	False
~C & ~C . What is C ?	~C . What is C ?	~C	False
(~D <=> A) & (C <=> E) & D & ~E & (C <=> E) & D & (C <=> E) & ~E & ~E . What is E ?	(~D <=> A) & (C <=> E) & D & ~E . What is E ?	(~D <=> A) & (C <=> E) & D & ~E	False
I & (~D | ~J) & D & (~J ==> G) & I & (~D | ~J) & (~J ==> G) & (I <=> C) & (~F | ~D) & (~D | ~J) & (~F | ~D) & (I <=> C) . What is D ?	I & (~D | ~J) & D & (~J ==> G) & (I <=> C) & (~F | ~D) . What is D ?	I & (~D | ~J) & D & (~J ==> G) & (I <=> C) & (~F | ~D)	True
(B ^ J) & ~B & (~F <=> B) & (C ==> ~F) & (B ^ J) & ~B & ~B . What is ~F ?	(B ^ J) & ~B & (~F <=> B) & (C ==> ~F) . What is ~F ?	(B ^ J) & ~B & (~F <=> B) & (C ==> ~F)	False
 . What is F ?	 . What is F ?		Unknown HELP!
(J <=> ~B) & (G ^ ~C) & (~C ==> J) & (~C ==> J) & C & (J <=> ~B) & (~H ==> I) & C & I & I & C . What is G ?	(J <=> ~B) & (G ^ ~C) & (~C ==> J) & C & (~H ==> I) & I . What is G ?	(J <=> ~B) & (G ^ ~C) & (~C ==> J) & C & (~H ==> I) & I	True
(~A & H) & (~A & H) & (~A & H) . What is ~A ?	(~A & H) . What is ~A ?	(~A & H)	True
H & H & H . What is ~H ?	H . What is ~H ?	H	False
(~D ^ ~F) & ~A & ~D & (~I | A) & ~A & (~I | A) & (~D ^ ~F) & ~D & ~D . What is F ?	(~D ^ ~F) & ~A & ~D & (~I | A) . What is F ?	(~D ^ ~F) & ~A & ~D & (~I | A)	True
(~J <=> ~B) & ~C & (~J <=> ~B) & (~G ^ C) & (~J <=> ~B) & (~B ^ ~G) . What is B ?	(~J <=> ~B) & ~C & (~G ^ C) & (~B ^ ~G) . What is B ?	(~J <=> ~B) & ~C & (~G ^ C) & (~B ^ ~G)	True
~H & ~H . What is H ?	~H . What is H ?	~H	False
D & (H ^ D) & (~F & H) & (~B | ~F) & (~F & H) & (~B | ~F) . What is ~H ?	D & (H ^ D) & (~F & H) & (~B | ~F) . What is ~H ?	D & (H ^ D) & (~F & H) & (~B | ~F)	Contradictory
I & I & I . What is ~I ?	I . What is ~I ?	I	False
(H ^ F) & H & (~C <=> H) & (~C <=> H) . What is ~C ?	(H ^ F) & H & (~C <=> H) . What is ~C ?	(H ^ F) & H & (~C <=> H)	True
~F & (G | F) & ~F . What is F ?	~F & (G | F) . What is F ?	~F & (G | F)	False
(B ==> A) & ~J & (B ==> A) & (C ==> ~J) & (C ==> ~J) & ~J & (~J ^ B) & (C ==> ~J) & (~J ^ B) & (B ==> A) & ~J . What is ~J ?	(B ==> A) & ~J & (C ==> ~J) & (~J ^ B) . What is ~J ?	(B ==> A) & ~J & (C ==> ~J) & (~J ^ B)	True
(B | H) & (B | H) & G & (B | H) & (~E ==> ~G) & D & (~E ==> ~G) & (A & ~E) & (~E ==> ~G) . What is ~G ?	(B | H) & G & (~E ==> ~G) & D & (A & ~E) . What is ~G ?	(B | H) & G & (~E ==> ~G) & D & (A & ~E)	Contradictory
J & (G ^ ~A) & (I & E) & (E ==> ~J) & (G ^ ~A) & ~A & (I & E) & ~A . What is ~I ?	J & (G ^ ~A) & (I & E) & (E ==> ~J) & ~A . What is ~I ?	J & (G ^ ~A) & (I & E) & (E ==> ~J) & ~A	Contradictory
 . What is D ?	 . What is D ?		Unknown HELP!
D & (~A <=> F) & D & D . What is D ?	D & (~A <=> F) . What is D ?	D & (~A <=> F)	True
~G & (~G ==> F) & (~G ==> F) & (~G ==> F) & ~G . What is ~G ?	~G & (~G ==> F) . What is ~G ?	~G & (~G ==> F)	True
~F . What is D ?	~F . What is D ?	~F	Unknown HELP!
(~F ==> H) & G & (H | ~E) & G & ~E & (~D <=> J) & G . What is E ?	(~F ==> H) & G & (H | ~E) & ~E & (~D <=> J) . What is E ?	(~F ==> H) & G & (H | ~E) & ~E & (~D <=> J)	False
(~F & ~H) & (~F & ~H) & (~F & ~H) & C & C & C . What is F ?	(~F & ~H) & C . What is F ?	(~F & ~H) & C	False
(B ==> ~C) & (~E & ~A) & (B ==> ~C) & D & (~G & ~E) & (~G & ~E) & (B ==> ~C) & (H ^ ~G) & D & (~G & ~E) & D . What is ~G ?	(B ==> ~C) & (~E & ~A) & D & (~G & ~E) & (H ^ ~G) . What is ~G ?	(B ==> ~C) & (~E & ~A) & D & (~G & ~E) & (H ^ ~G)	True
~E & (~J <=> ~G) & (~E ^ F) & (~C & ~J) & ~G & ~G & ~G & (~J <=> ~G) & (~J <=> ~G) & (~C & ~J) & (~C & ~J) . What is ~A ?	~E & (~J <=> ~G) & (~E ^ F) & (~C & ~J) & ~G . What is ~A ?	~E & (~J <=> ~G) & (~E ^ F) & (~C & ~J) & ~G	Unknown HELP!
(~D <=> E) & (~B | ~H) & B & (E & ~G) & (~D <=> E) & (~G ==> ~A) & (~D <=> E) & (~B | ~H) & (~G ==> ~A) & B & (~G ==> ~A) . What is E ?	(~D <=> E) & (~B | ~H) & B & (E & ~G) & (~G ==> ~A) . What is E ?	(~D <=> E) & (~B | ~H) & B & (E & ~G) & (~G ==> ~A)	True
(~I & D) & (J ^ F) & (D & G) & (G ^ ~A) & ~B & (G ^ ~A) & ~B & (D & G) & (G ^ ~A) & (~I & D) & (D & G) . What is ~D ?	(~I & D) & (J ^ F) & (D & G) & (G ^ ~A) & ~B . What is ~D ?	(~I & D) & (J ^ F) & (D & G) & (G ^ ~A) & ~B	False
(H ^ E) & H & H . What is E ?	(H ^ E) & H . What is E ?	(H ^ E) & H	False
A & (A & E) & (E & ~G) & (A & E) & (E & ~G) & (E & ~G) & (~C ==> A) & (~C ==> A) . What is ~A ?	A & (A & E) & (E & ~G) & (~C ==> A) . What is ~A ?	A & (A & E) & (E & ~G) & (~C ==> A)	False
(~G <=> I) & (~J & B) & (I & ~J) & (~G <=> I) & (I & ~J) & (I & ~J) & (~J & B) & (~J & B) . What is G ?	(~G <=> I) & (~J & B) & (I & ~J) . What is G ?	(~G <=> I) & (~J & B) & (I & ~J)	False
D . What is ~D ?	D . What is ~D ?	D	False
(~H ^ G) & (~A & I) & (~A & I) & G . What is A ?	(~H ^ G) & (~A & I) & G . What is A ?	(~H ^ G) & (~A & I) & G	False
E & (~E ==> A) & E & (~F | ~J) & (~J | B) & (C & ~F) & (~J | B) & (C & ~F) & (~E ==> A) . What is ~C ?	E & (~E ==> A) & (~F | ~J) & (~J | B) & (C & ~F) . What is ~C ?	E & (~E ==> A) & (~F | ~J) & (~J | B) & (C & ~F)	False
(~B & D) & (~G ==> ~B) & (~B & D) . What is D ?	(~B & D) & (~G ==> ~B) . What is D ?	(~B & D) & (~G ==> ~B)	True
(~I & ~G) & G & G & ~A & ~A & (~G | ~H) & ~A & (E ^ A) & (E ^ A) & (~G | ~H) & (E ^ A) & (~G | ~H) . What is F ?	(~I & ~G) & G & ~A & (~G | ~H) & (E ^ A) . What is F ?	(~I & ~G) & G & ~A & (~G | ~H) & (E ^ A)	Contradictory
~I & ~I & ~I & (J ==> I) & D & (A | D) & (J ==> I) & (A | D) & (A | D) . What is D ?	~I & (J ==> I) & D & (A | D) . What is D ?	~I & (J ==> I) & D & (A | D)	True
(F & I) & G & (~G <=> ~E) & (F & I) & (~E | F) & (F & I) & G & G & (~E | F) . What is I ?	(F & I) & G & (~G <=> ~E) & (~E | F) . What is I ?	(F & I) & G & (~G <=> ~E) & (~E | F)	True
I & I . What is ~I ?	I . What is ~I ?	I	False
D & (~J & ~B) & (~F & I) & G & (~J & ~B) & (~F & I) & (~J & ~B) & D & (~F & I) & (I & ~D) & (I & ~D) & (I & ~D) . What is ~A ?	D & (~J & ~B) & (~F & I) & G & (I & ~D) . What is ~A ?	D & (~J & ~B) & (~F & I) & G & (I & ~D)	Contradictory
B & B & B . What is ~B ?	B . What is ~B ?	B	False
