(~I <=> D) & (~H <=> F) & (~I <=> D) & (~I <=> D) & H & H & (E & ~H) & H & I & (~H <=> F) & (~H <=> F) & (E & ~H) . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I	Contradictory
(D ==> ~J) & (~B & H) & (G & E) & (E & ~B) & (D ==> ~J) & D & D & D . What is ~H ?	(D ==> ~J) & (~B & H) & (G & E) & (E & ~B) & D . What is ~H ?	(D ==> ~J) & (~B & H) & (G & E) & (E & ~B) & D	False
(~A | ~G) & G & ~C & G & (J & ~D) & (~A | ~G) & (J & ~D) & (J & ~D) . What is ~D ?	(~A | ~G) & G & ~C & (J & ~D) . What is ~D ?	(~A | ~G) & G & ~C & (J & ~D)	True
A & A & A . What is ~A ?	A . What is ~A ?	A	False
(H & F) & (H & F) & (H & F) & (J ^ H) & (J ^ H) & (J ^ H) . What is J ?	(H & F) & (J ^ H) . What is J ?	(H & F) & (J ^ H)	False
(I ^ ~C) & ~H & (~D & A) & G & (~C <=> ~G) & (~C <=> ~G) & G . What is G ?	(I ^ ~C) & ~H & (~D & A) & G & (~C <=> ~G) . What is G ?	(I ^ ~C) & ~H & (~D & A) & G & (~C <=> ~G)	True
(~A <=> D) & (E & ~H) & J & (J | E) & I & (E & ~H) & I & (J | E) & (C | J) & (E & ~H) & J . What is J ?	(~A <=> D) & (E & ~H) & J & (J | E) & I & (C | J) . What is J ?	(~A <=> D) & (E & ~H) & J & (J | E) & I & (C | J)	True
~B & ~B . What is B ?	~B . What is B ?	~B	False
~B & (D & ~I) & (B ^ D) & ~B & ~B . What is ~B ?	~B & (D & ~I) & (B ^ D) . What is ~B ?	~B & (D & ~I) & (B ^ D)	True
(~F & A) & ~H & (D ^ ~H) & (~E | ~F) . What is ~A ?	(~F & A) & ~H & (D ^ ~H) & (~E | ~F) . What is ~A ?	(~F & A) & ~H & (D ^ ~H) & (~E | ~F)	False
(~A | ~E) & (F ^ ~A) & ~A & ~A & (~A | ~E) & ~A . What is F ?	(~A | ~E) & (F ^ ~A) & ~A . What is F ?	(~A | ~E) & (F ^ ~A) & ~A	False
A & (~D ^ ~F) & (H ==> ~I) & (~D ^ ~F) & ~E & (~G & H) & ~E & (~G & H) & (~G & H) & ~E & (~I | A) & (~I | A) . What is G ?	A & (~D ^ ~F) & (H ==> ~I) & ~E & (~G & H) & (~I | A) . What is G ?	A & (~D ^ ~F) & (H ==> ~I) & ~E & (~G & H) & (~I | A)	False
(J | C) & ~E & (B <=> E) & (J | C) & (B <=> E) & (E <=> J) & (J | C) . What is B ?	(J | C) & ~E & (B <=> E) & (E <=> J) . What is B ?	(J | C) & ~E & (B <=> E) & (E <=> J)	False
~G & ~G . What is G ?	~G . What is G ?	~G	False
(~J | ~H) & (~B & ~I) & (~I <=> ~G) & (~B & ~I) & (~D ==> ~B) & (~I <=> ~G) & (~B & ~I) & C & (~I <=> ~G) & C & C . What is ~I ?	(~J | ~H) & (~B & ~I) & (~I <=> ~G) & (~D ==> ~B) & C . What is ~I ?	(~J | ~H) & (~B & ~I) & (~I <=> ~G) & (~D ==> ~B) & C	True
~J & ~J . What is J ?	~J . What is J ?	~J	False
~B & ~B & ~B . What is ~B ?	~B . What is ~B ?	~B	True
 . What is H ?	 . What is H ?		Unknown HELP!
(~F | J) & (J <=> H) & (J <=> H) & (H | G) & (H | G) . What is ~F ?	(~F | J) & (J <=> H) & (H | G) . What is ~F ?	(~F | J) & (J <=> H) & (H | G)	Unknown HELP!
~D & (C <=> ~B) & (~G ==> E) & (~G ==> E) & ~H & (~G ==> E) & ~H & ~D . What is ~I ?	~D & (C <=> ~B) & (~G ==> E) & ~H . What is ~I ?	~D & (C <=> ~B) & (~G ==> E) & ~H	Unknown HELP!
~F & ~E & (F ==> ~J) & (G ^ B) & (B | F) & (G ^ B) & (~D & ~E) & (B | F) & ~F & ~F . What is F ?	~F & ~E & (F ==> ~J) & (G ^ B) & (B | F) & (~D & ~E) . What is F ?	~F & ~E & (F ==> ~J) & (G ^ B) & (B | F) & (~D & ~E)	False
B & (H & G) & (H & G) & (H & G) . What is H ?	B & (H & G) . What is H ?	B & (H & G)	True
B & (~B ^ H) & (H ==> G) & (~B ^ H) . What is G ?	B & (~B ^ H) & (H ==> G) . What is G ?	B & (~B ^ H) & (H ==> G)	True
(D ^ B) & (D ^ B) & (B & ~F) & (B & ~F) & (B & ~F) . What is ~B ?	(D ^ B) & (B & ~F) . What is ~B ?	(D ^ B) & (B & ~F)	False
(H & F) & (H & F) & G & (C ^ ~E) & (H & F) & G & (G | C) & ~F & G & (G | C) & (G | C) & ~F . What is ~G ?	(H & F) & G & (C ^ ~E) & (G | C) & ~F . What is ~G ?	(H & F) & G & (C ^ ~E) & (G | C) & ~F	Contradictory
(I ==> D) & ~I . What is ~I ?	(I ==> D) & ~I . What is ~I ?	(I ==> D) & ~I	True
(~G <=> A) & (H ^ ~J) & (A & H) & (~G <=> A) & (~G <=> A) & (A & H) & (A & H) . What is ~A ?	(~G <=> A) & (H ^ ~J) & (A & H) . What is ~A ?	(~G <=> A) & (H ^ ~J) & (A & H)	False
C & (C & ~H) & C & (C & ~H) & (~A <=> C) & (C & ~H) & (~A <=> C) & (~H | ~E) & (~H | ~E) . What is ~H ?	C & (C & ~H) & (~A <=> C) & (~H | ~E) . What is ~H ?	C & (C & ~H) & (~A <=> C) & (~H | ~E)	True
~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
(A <=> J) & (J ^ ~D) & ~A & ~A & (A <=> J) & I & (A <=> J) & (E ^ C) & (E ^ C) & I & (E ^ C) & ~A . What is ~J ?	(A <=> J) & (J ^ ~D) & ~A & I & (E ^ C) . What is ~J ?	(A <=> J) & (J ^ ~D) & ~A & I & (E ^ C)	True
(~H | ~E) & (B ^ ~H) & (B ^ ~H) & (B ^ ~H) . What is E ?	(~H | ~E) & (B ^ ~H) . What is E ?	(~H | ~E) & (B ^ ~H)	Unknown HELP!
~J . What is ~J ?	~J . What is ~J ?	~J	True
E & (I <=> J) & (~B ==> A) & A & A & A & E & (G & ~B) & (G & ~B) & (~B ==> A) & (G & ~B) . What is C ?	E & (I <=> J) & (~B ==> A) & A & (G & ~B) . What is C ?	E & (I <=> J) & (~B ==> A) & A & (G & ~B)	Unknown HELP!
G & G . What is G ?	G . What is G ?	G	True
~B & ~B & ~B . What is B ?	~B . What is B ?	~B	False
(H & ~E) & (H & ~E) & (~E ^ ~G) & (H & ~E) . What is ~E ?	(H & ~E) & (~E ^ ~G) . What is ~E ?	(H & ~E) & (~E ^ ~G)	True
(~G & H) & (B ^ I) & E & E & (B ^ I) & (B ^ I) & E & (~G & H) & I & I & I . What is G ?	(~G & H) & (B ^ I) & E & I . What is G ?	(~G & H) & (B ^ I) & E & I	False
B & (~E & ~B) & ~F & (C ==> G) & B & (~B & D) & (~B & D) & (~E & ~B) & (~E & ~B) . What is ~E ?	B & (~E & ~B) & ~F & (C ==> G) & (~B & D) . What is ~E ?	B & (~E & ~B) & ~F & (C ==> G) & (~B & D)	Contradictory
A & (~C <=> I) & A . What is ~A ?	A & (~C <=> I) . What is ~A ?	A & (~C <=> I)	False
~D & ~D & (~I & B) & (~I & B) & (~I & B) . What is I ?	~D & (~I & B) . What is I ?	~D & (~I & B)	False
(J <=> I) & (~D & C) & (C <=> J) & (J <=> I) & (~D & C) & (~D & C) & (C <=> J) . What is I ?	(J <=> I) & (~D & C) & (C <=> J) . What is I ?	(J <=> I) & (~D & C) & (C <=> J)	True
(~I & E) & (~H ==> ~I) & (~C & ~H) & (~C & ~H) . What is H ?	(~I & E) & (~H ==> ~I) & (~C & ~H) . What is H ?	(~I & E) & (~H ==> ~I) & (~C & ~H)	False
(~A & ~B) & H & H & H & (~A & ~B) & (~A & ~B) . What is A ?	(~A & ~B) & H . What is A ?	(~A & ~B) & H	False
~G & (D <=> ~I) & ~G & (D <=> ~I) & (~G <=> E) & (~G <=> E) & (~G <=> E) & ~G . What is I ?	~G & (D <=> ~I) & (~G <=> E) . What is I ?	~G & (D <=> ~I) & (~G <=> E)	Unknown HELP!
 . What is C ?	 . What is C ?		Unknown HELP!
~F & ~F . What is F ?	~F . What is F ?	~F	False
I . What is I ?	I . What is I ?	I	True
G & G . What is G ?	G . What is G ?	G	True
(~B | E) & (~D & H) & (~B | E) & B & (~B | E) & (E ==> ~D) & (E ==> ~D) . What is E ?	(~B | E) & (~D & H) & B & (E ==> ~D) . What is E ?	(~B | E) & (~D & H) & B & (E ==> ~D)	True
~C . What is C ?	~C . What is C ?	~C	False
H & H . What is ~H ?	H . What is ~H ?	H	False
(~J | C) & A & E & A & (~H | ~A) . What is A ?	(~J | C) & A & E & (~H | ~A) . What is A ?	(~J | C) & A & E & (~H | ~A)	True
(C | F) & ~J & (C | F) & (G ==> C) & (G ==> C) & ~J & (G ==> C) & (D <=> ~E) & (D <=> ~E) & H & H & (D <=> ~E) . What is ~H ?	(C | F) & ~J & (G ==> C) & (D <=> ~E) & H . What is ~H ?	(C | F) & ~J & (G ==> C) & (D <=> ~E) & H	False
(~A & I) & ~D & (G & ~A) & (B ==> D) & (I ^ C) & (B ==> D) & (B ==> D) & (I ^ C) & (I ^ C) . What is G ?	(~A & I) & ~D & (G & ~A) & (B ==> D) & (I ^ C) . What is G ?	(~A & I) & ~D & (G & ~A) & (B ==> D) & (I ^ C)	True
(~A ^ G) & (J ^ D) & (G <=> I) & ~D & (~F ==> ~A) & (J ^ D) & (J ^ D) & ~D & ~D . What is ~A ?	(~A ^ G) & (J ^ D) & (G <=> I) & ~D & (~F ==> ~A) . What is ~A ?	(~A ^ G) & (J ^ D) & (G <=> I) & ~D & (~F ==> ~A)	Unknown HELP!
(I & H) & (~B ==> C) & (C | ~A) & ~H & (C | ~A) & (~B ==> C) & ~H . What is B ?	(I & H) & (~B ==> C) & (C | ~A) & ~H . What is B ?	(I & H) & (~B ==> C) & (C | ~A) & ~H	Contradictory
(G ^ I) & (I <=> J) & (I <=> J) & (I <=> J) & (~B <=> ~H) & ~D & (J & ~C) & ~D & (~B <=> ~H) . What is I ?	(G ^ I) & (I <=> J) & (~B <=> ~H) & ~D & (J & ~C) . What is I ?	(G ^ I) & (I <=> J) & (~B <=> ~H) & ~D & (J & ~C)	True
(~D & ~E) & (~D & ~E) & (~D & ~E) . What is ~E ?	(~D & ~E) . What is ~E ?	(~D & ~E)	True
E & E & E . What is E ?	E . What is E ?	E	True
~J & (E ^ ~B) & (E ^ ~B) & (~C <=> J) & (E ^ ~B) . What is D ?	~J & (E ^ ~B) & (~C <=> J) . What is D ?	~J & (E ^ ~B) & (~C <=> J)	Unknown HELP!
~F & (~F ==> ~J) & (~A ^ ~B) & (~A ^ ~B) & ~B & (~J <=> C) & ~B & (~J <=> C) . What is C ?	~F & (~F ==> ~J) & (~A ^ ~B) & ~B & (~J <=> C) . What is C ?	~F & (~F ==> ~J) & (~A ^ ~B) & ~B & (~J <=> C)	True
~C & ~C . What is C ?	~C . What is C ?	~C	False
(G ^ I) & H & H & (~F ==> E) & (J <=> ~F) & (~F ==> E) & (~F ==> E) & ~E & ~E & (G ^ I) & (G ^ I) & ~E . What is ~F ?	(G ^ I) & H & (~F ==> E) & (J <=> ~F) & ~E . What is ~F ?	(G ^ I) & H & (~F ==> E) & (J <=> ~F) & ~E	False
(~J ==> ~C) & (A & I) & ~I & (~J ==> ~C) & ~I & J & J & ~I . What is E ?	(~J ==> ~C) & (A & I) & ~I & J . What is E ?	(~J ==> ~C) & (A & I) & ~I & J	Contradictory
(F ==> ~D) & (~I | ~A) & (~D ^ ~I) & (~I | ~A) & (~D ^ ~I) & I & I & (~D ^ ~I) . What is ~D ?	(F ==> ~D) & (~I | ~A) & (~D ^ ~I) & I . What is ~D ?	(F ==> ~D) & (~I | ~A) & (~D ^ ~I) & I	True
I & I & I . What is ~I ?	I . What is ~I ?	I	False
(~I <=> ~D) & (F | ~G) & (~I <=> ~D) & ~B & (~I <=> ~D) & G & (F | ~G) . What is F ?	(~I <=> ~D) & (F | ~G) & ~B & G . What is F ?	(~I <=> ~D) & (F | ~G) & ~B & G	True
(A ^ G) & ~A & (F ==> H) & ~E & (F ==> H) & ~E & (F ==> H) . What is ~G ?	(A ^ G) & ~A & (F ==> H) & ~E . What is ~G ?	(A ^ G) & ~A & (F ==> H) & ~E	False
(~J ==> ~C) & ~B & (~F ^ ~J) & ~B & C & (~J ==> ~C) & (~E & ~A) & C & (~E & ~A) & (~J ==> ~C) & (~E & ~A) . What is J ?	(~J ==> ~C) & ~B & (~F ^ ~J) & C & (~E & ~A) . What is J ?	(~J ==> ~C) & ~B & (~F ^ ~J) & C & (~E & ~A)	True
E . What is E ?	E . What is E ?	E	True
(~B & G) & (~I ==> ~B) . What is B ?	(~B & G) & (~I ==> ~B) . What is B ?	(~B & G) & (~I ==> ~B)	False
J & (A ^ ~J) . What is ~A ?	J & (A ^ ~J) . What is ~A ?	J & (A ^ ~J)	False
(C & ~I) & ~G & ~G & ~G . What is I ?	(C & ~I) & ~G . What is I ?	(C & ~I) & ~G	False
~D & (I <=> ~D) & (I <=> ~D) & (I <=> ~D) . What is I ?	~D & (I <=> ~D) . What is I ?	~D & (I <=> ~D)	True
(~C & G) & (~A ^ ~C) & ~J & (J <=> D) & (J <=> D) & ~J & ~J . What is ~C ?	(~C & G) & (~A ^ ~C) & ~J & (J <=> D) . What is ~C ?	(~C & G) & (~A ^ ~C) & ~J & (J <=> D)	True
(H ^ C) & (~E <=> H) & J & ~H & (~B & J) & (~E <=> H) & (~E <=> H) & (~B & J) & ~H & (~B & J) . What is E ?	(H ^ C) & (~E <=> H) & J & ~H & (~B & J) . What is E ?	(H ^ C) & (~E <=> H) & J & ~H & (~B & J)	True
(~B ^ ~E) & (~E ^ ~I) & F & (H ==> ~B) & (H ==> ~B) & (H ==> ~B) & F & (~B ^ ~E) & F . What is ~I ?	(~B ^ ~E) & (~E ^ ~I) & F & (H ==> ~B) . What is ~I ?	(~B ^ ~E) & (~E ^ ~I) & F & (H ==> ~B)	Unknown HELP!
(~I <=> ~A) & (~I <=> ~A) & (~J ==> ~I) & (E | B) & (~J ==> ~I) & (~I <=> ~A) & (~A & ~G) & (E | B) & (~J ==> ~I) & ~F & ~F . What is ~G ?	(~I <=> ~A) & (~J ==> ~I) & (E | B) & (~A & ~G) & ~F . What is ~G ?	(~I <=> ~A) & (~J ==> ~I) & (E | B) & (~A & ~G) & ~F	True
(~E | I) & (~E | I) & (~E | I) & I & I & I . What is ~I ?	(~E | I) & I . What is ~I ?	(~E | I) & I	False
D & D & D . What is ~G ?	D . What is ~G ?	D	Unknown HELP!
G & (~H ^ B) & G & (C & ~H) & (~H ^ B) & (C & ~H) & G . What is ~B ?	G & (~H ^ B) & (C & ~H) . What is ~B ?	G & (~H ^ B) & (C & ~H)	True
(E <=> H) & (I & E) & (E <=> H) & (E <=> H) & ~G . What is ~H ?	(E <=> H) & (I & E) & ~G . What is ~H ?	(E <=> H) & (I & E) & ~G	False
~C . What is ~C ?	~C . What is ~C ?	~C	True
(~C | ~F) & (E | ~I) & F & (D | E) & F & ~I & (E | ~I) & ~I & (D | E) & ~I & (D | E) . What is ~I ?	(~C | ~F) & (E | ~I) & F & (D | E) & ~I . What is ~I ?	(~C | ~F) & (E | ~I) & F & (D | E) & ~I	True
(~E ==> ~F) & (~C & ~E) & (~E ==> ~F) & D & (H ==> ~D) & (A <=> ~C) & (~C & ~E) & ~E & D & ~E & (~E ==> ~F) & ~E . What is C ?	(~E ==> ~F) & (~C & ~E) & D & (H ==> ~D) & (A <=> ~C) & ~E . What is C ?	(~E ==> ~F) & (~C & ~E) & D & (H ==> ~D) & (A <=> ~C) & ~E	False
(G ^ A) & (C ==> D) & (C ==> D) & (H & ~I) & (H & ~I) & ~E & (D <=> H) & H & H & ~E & (H & ~I) & (D <=> H) & (C ==> D) & ~E . What is J ?	(G ^ A) & (C ==> D) & (H & ~I) & ~E & (D <=> H) & H . What is J ?	(G ^ A) & (C ==> D) & (H & ~I) & ~E & (D <=> H) & H	Unknown HELP!
I & I & I . What is I ?	I . What is I ?	I	True
(~F ==> J) & B & (~E ^ ~B) & F & (~E ^ ~B) & (J | H) & (~F ==> J) & B & B . What is H ?	(~F ==> J) & B & (~E ^ ~B) & F & (J | H) . What is H ?	(~F ==> J) & B & (~E ^ ~B) & F & (J | H)	Unknown HELP!
~E & (~C | F) & D & (~B ^ ~H) & (~B ^ ~H) & ~E & ~E & (~B ^ ~H) & (~D & ~B) & (~D & ~B) . What is I ?	~E & (~C | F) & D & (~B ^ ~H) & (~D & ~B) . What is I ?	~E & (~C | F) & D & (~B ^ ~H) & (~D & ~B)	Contradictory
D . What is D ?	D . What is D ?	D	True
~F . What is ~F ?	~F . What is ~F ?	~F	True
(~F & ~H) & (~F & ~H) & ~B & ~B & ~B . What is B ?	(~F & ~H) & ~B . What is B ?	(~F & ~H) & ~B	False
(~G ==> ~A) & (J & ~G) & (~G ==> ~A) & (~G ==> ~A) & (J & ~G) . What is A ?	(~G ==> ~A) & (J & ~G) . What is A ?	(~G ==> ~A) & (J & ~G)	False
(D & I) & (~A & ~H) & H & H & H . What is ~D ?	(D & I) & (~A & ~H) & H . What is ~D ?	(D & I) & (~A & ~H) & H	Contradictory
(~I <=> E) & (~I <=> E) & ~H & ~H & (H ^ ~I) & (H ^ ~I) & (C <=> H) & (H ^ ~I) & (C <=> H) . What is C ?	(~I <=> E) & ~H & (H ^ ~I) & (C <=> H) . What is C ?	(~I <=> E) & ~H & (H ^ ~I) & (C <=> H)	False
J & J . What is ~J ?	J . What is ~J ?	J	False
(~J <=> ~F) & (H ^ ~G) & ~A & (H ^ ~G) & B & B . What is B ?	(~J <=> ~F) & (H ^ ~G) & ~A & B . What is B ?	(~J <=> ~F) & (H ^ ~G) & ~A & B	True
(~I <=> ~H) & (E <=> F) & (~I <=> ~H) & D . What is H ?	(~I <=> ~H) & (E <=> F) & D . What is H ?	(~I <=> ~H) & (E <=> F) & D	Unknown HELP!
~B & ~B & ~B . What is ~B ?	~B . What is ~B ?	~B	True
(~B | ~A) & H & (~B | ~A) & (C <=> H) & (H <=> ~I) & (H <=> ~I) & B & B & B . What is ~C ?	(~B | ~A) & H & (C <=> H) & (H <=> ~I) & B . What is ~C ?	(~B | ~A) & H & (C <=> H) & (H <=> ~I) & B	False
(A <=> H) & ~B & (A <=> H) & (H <=> ~E) & ~B & (A <=> H) & (~E ^ B) & ~B & (H <=> ~E) . What is ~B ?	(A <=> H) & ~B & (H <=> ~E) & (~E ^ B) . What is ~B ?	(A <=> H) & ~B & (H <=> ~E) & (~E ^ B)	True
(C <=> A) & (A ^ ~E) & (J | H) & (A ^ ~E) & (~B & C) & ~J & ~J & (J | H) & (J | H) . What is A ?	(C <=> A) & (A ^ ~E) & (J | H) & (~B & C) & ~J . What is A ?	(C <=> A) & (A ^ ~E) & (J | H) & (~B & C) & ~J	True
C & C . What is ~C ?	C . What is ~C ?	C	False
(~B <=> ~G) & (J & ~I) & B & (~I <=> C) & (J & ~I) & (J & ~I) & (C | ~H) & (~I <=> C) & J & J & (~I <=> C) . What is ~A ?	(~B <=> ~G) & (J & ~I) & B & (~I <=> C) & (C | ~H) & J . What is ~A ?	(~B <=> ~G) & (J & ~I) & B & (~I <=> C) & (C | ~H) & J	Unknown HELP!
E & ~B & E & (D ^ ~G) & (A & ~I) & (A & ~I) & E & (D ^ ~G) & (A & ~I) . What is F ?	E & ~B & (D ^ ~G) & (A & ~I) . What is F ?	E & ~B & (D ^ ~G) & (A & ~I)	Unknown HELP!
(~A ^ G) & ~E & (H ==> F) & (H ==> F) & (J ==> H) & (~A ^ G) & (~A ^ G) & (D & J) & ~E & (H ==> F) & ~E . What is J ?	(~A ^ G) & ~E & (H ==> F) & (J ==> H) & (D & J) . What is J ?	(~A ^ G) & ~E & (H ==> F) & (J ==> H) & (D & J)	True
(H ==> A) & (~E <=> ~B) & (A | ~C) & G & (I ^ H) & (A | ~C) & (H ==> A) & G & (~E <=> ~B) & (I ^ H) & G . What is ~H ?	(H ==> A) & (~E <=> ~B) & (A | ~C) & G & (I ^ H) . What is ~H ?	(H ==> A) & (~E <=> ~B) & (A | ~C) & G & (I ^ H)	Unknown HELP!
(I ==> J) & (I ==> J) & ~D & (J ==> ~G) & ~D & (J ==> ~G) & (A | D) & (J ==> ~G) & ~D & (A | D) & (A | D) . What is ~C ?	(I ==> J) & ~D & (J ==> ~G) & (A | D) . What is ~C ?	(I ==> J) & ~D & (J ==> ~G) & (A | D)	Unknown HELP!
(~G ^ ~D) & ~B & I & ~B & ~B & (J ==> F) & (J ==> F) & (J ==> F) . What is ~B ?	(~G ^ ~D) & ~B & I & (J ==> F) . What is ~B ?	(~G ^ ~D) & ~B & I & (J ==> F)	True
I & (~J ==> ~E) & (~A ^ I) & I & (~A ^ I) & (~J ==> ~E) & (~J ==> ~E) & (~A ^ I) & B . What is I ?	I & (~J ==> ~E) & (~A ^ I) & B . What is I ?	I & (~J ==> ~E) & (~A ^ I) & B	True
A & (E ^ A) & A & (E ^ A) & (~I ==> C) & (~I ==> C) & (G ^ ~I) & (~I ==> C) & (G ^ ~I) . What is I ?	A & (E ^ A) & (~I ==> C) & (G ^ ~I) . What is I ?	A & (E ^ A) & (~I ==> C) & (G ^ ~I)	Unknown HELP!
(B & I) & (~J ^ B) & F & (~J ^ B) & F . What is ~B ?	(B & I) & (~J ^ B) & F . What is ~B ?	(B & I) & (~J ^ B) & F	False
(~E | A) & (~E | A) & I & (~E | A) & (B ^ ~I) & G & G . What is G ?	(~E | A) & I & (B ^ ~I) & G . What is G ?	(~E | A) & I & (B ^ ~I) & G	True
~C . What is C ?	~C . What is C ?	~C	False
B & B . What is ~B ?	B . What is ~B ?	B	False
(~H ^ ~A) & (~H ^ ~A) & (E <=> ~H) . What is G ?	(~H ^ ~A) & (E <=> ~H) . What is G ?	(~H ^ ~A) & (E <=> ~H)	Unknown HELP!
